TÊN KHÓA HỌC (course name)    ,CHUYÊN NGÀNH (course category),TÊN GIẢNG VIÊN (instructor name),LINK KHÓA HỌC (course link),MÔ TẢ (course description)
HỘI HỌA: MÀU SẮC VÀ PHỐI MÀU CƠ BẢN,Design,Mr. Lê Hoàng Anh Thi,https://onlinica.com/courses/course-v1:Onlinica+001+2022_001/about ,Kiến thức cơ bản về màu sắc. Sử dụng ánh sáng và nhiệt độ trong màu sắc. Nguyên lý phối màu. Thực hành tô màu với vòng tròn thuần sắc. Hướng dẫn bởi giảng viên chuyên ngành thiết kế
KỸ NĂNG QUẢN LÝ THỜI GIAN,Personal Development,Ms. Nguyễn Thu Hà,https://onlinica.com/courses/course-v1:Onlinica+002+2022_002/about,Ý nghĩa của kỹ năng quản lý thời gian. Cách phân chia thời gian hiệu quả. Cách ứng dụng kỹ năng quản lý thời gian vào cuộc sống hàng ngày.
KỸ NĂNG SINH TỒN TRONG THÀNH PHỐ ,Personal Development,Ms. Lê Diệu Hiền,https://onlinica.com/courses/course-v1:Onlinica+003+2022_003/about,Cách tìm kiếm phòng trọ tại Thành Phố. Kỹ năng đánh giá và lựa chọn nơi ở phù hợp. Cách đối phó với nguy hiểm và khó khăn khi tìm kiếm phòng trọ
KHÁM PHÁ NGÀNH DIGITAL MARKETING,Digital Marketing,Ms. Nguyễn Khánh Ly,https://onlinica.com/courses/course-v1:Onlinica+004+2022_004/about#shortDes,Tổng quan về ngành Digital marketing. Vai trò và lợi ích của ngành Digital marketing đối với doanh nghiệp. Triển vọng nghề nghiệp của ngành Digital marketing trên thị trường lao động
KỸ NĂNG PHỎNG VẤN TÌM VIỆC LÀM,Soft Skills,Ms. Bùi Thương Huyền,https://onlinica.com/courses/course-v1:Onlinica+005+2022_005/about,Cách chuẩn bị cho cuộc phỏng vấn. Cách trả lời câu hỏi phỏng vấn một cách tự tin và logic. Cách thể hiện bản thân một cách chuyên nghiệp và hấp dẫn. Cách tạo ấn tượng tích cực với nhà tuyển dụng.
NGÀNH TRÍ TUỆ NHÂN TẠO AI - NGHỀ CỦA TƯƠNG LAI,Trí tuệ nhân tạo A.I,Mr. Trần Anh Tuấn,https://onlinica.com/courses/course-v1:Onlinica+006+2022_006/about,"Trí tuệ nhân tạo là một nhánh của khoa học máy tính, liên quan đến việc xây dựng hệ thống máy thông minh. Máy học là gì và sự khác biệt giữa máy học có giám sát và không giám sát. Học sâu (Deep Learning) và ứng dụng của nó"
KHÁM PHÁ NGÀNH GAME DEVELOPER - NHẬP MÔN,Lập trình,Mr. Dương Hoàng Thanh,https://onlinica.com/courses/course-v1:Onlinica+008+2022_008/about,"Quy trình tạo ra một video game. Thiết kế hình ảnh, âm thanh và dữ liệu trong video game. Cơ hội việc làm của một Game Developer"
KỸ NĂNG GIAO TIẾP HIỆU QUẢ,Soft Skills,Ms. Nguyễn Ngọc Tú Uyên,https://onlinica.com/courses/course-v1:Onlinica+009+2022_009/about,Tầm quan trọng của giao tiếp trong cuộc sống hàng ngày. Cách thức thấu hiểu và truyền đạt thông điệp đúng đắn. Kỹ năng giao tiếp hiệu quả từ người gửi đến người nhận. Cách xử lý tình huống giao tiếp khó khăn. Phương pháp cải thiện kỹ năng giao tiếp của bản thân.
KỸ NĂNG TÌM VIỆC LÀM THÊM,Soft Skills,Ms. Nguyễn Ngọc Tú Nguyên,https://onlinica.com/courses/course-v1:Onlinica+010+2022_010/about,Cách tìm kiếm công việc làm thêm phù hợp với thời gian học. Cách quản lý thời gian hiệu quả giữa việc học và làm thêm. Kỹ năng cần thiết để thành công trong công việc làm thêm.
SÁNG TẠO VÀ SẢN XUẤT PHIM ANIMATION,Design,"Mr. Kỷ Thế Vinh
Mr. Lê Vũ Quang",https://onlinica.com/courses/course-v1:Onlinica+039+2022-039/about#shortDes,"Chia sẻ và kinh nghiệm thực tế khi thực hiện bộ phim ""Bình Ngô Đại Chiến"". Quy trình làm phim Animation. Truyền cảm hứng và khám phá ước mơ tạo nên một bộ phim Animation của riêng mình."
TỐI ƯU BÁN HÀNG TRÊN TIKTOK SHOP,Digital Marketing,Giảng viên Onlinica (AI),https://onlinica.com/courses/course-v1:Onlinica+260+2023_260/about#shortDes,TikTok Shop là gì. Mô hình vận hành của TikTok Shop. Cách tối ưu TikTok Shop. Quản lý gian hàng thành công. Tìm ra và khắc phục những khuyết điểm trong cách vận hành gian hàng
LÝ THUYẾT NGHỆ THUẬT VỀ TỈ LỆ & GIẢI PHẪU NGƯỜI - PHẦN 01,Design,Mr. Huỳnh Nguyên Bảo,https://onlinica.com/courses/course-v1:Onlinica+064+2022_064/about,Cấu trúc cơ thể con người. Tỷ lệ cơ thể người. Kỹ thuật vẽ người
LÝ THUYẾT VỀ MÀU SẮC - PHẦN 01,Design,Ms. Nguyễn Hải Huyền Trang,https://onlinica.com/courses/course-v1:Onlinica+068+2022_068/about#shortDes,Ý nghĩa và tác động của màu sắc trong cuộc sống hàng ngày. Cách sử dụng màu sắc trong thiết kế đồ họa và truyền thông. Cách chọn lựa màu sắc phù hợp trong thiết kế và trang trí. Cách kết hợp màu sắc để tạo ra hiệu ứng và cảm xúc khác nhau
LÝ THUYẾT VỀ MÀU SẮC - PHẦN 02,Design,Ms. Nguyễn Hải Huyền Trang,https://onlinica.com/courses/course-v1:Onlinica+069+2022_069/about#shortDes,Cách vẽ trên phần mềm Adobe Illustrator với công cụ Mesh Tool. Vẽ được những đối tượng thực tế và đảm bảo chất lượng của file. Thích hợp dùng cho in ấn
GIỚI THIỆU VỀ STORYBOARDING,Design,Mr. Nguyễn Tấn Huynh,https://onlinica.com/courses/course-v1:Onlinica+070+2022_070/about#shortDes,"Storyboard là gì và tại sao cần sử dụng trong ngành điện ảnh. Cách vẽ storyboard cho phim, TVC, MV. Cách sử dụng storyboard để truyền đạt ý tưởng và thông điệp một cách hiệu quả. Các kỹ thuật và nguyên tắc cơ bản khi vẽ storyboard. Thực hành vẽ storyboard cho các dự án điện ảnh cụ thể"
DỰNG HÌNH 3D CƠ BẢN VỚI PHẦN MỀM AUTODESK MAYA,Design,Mr. Huỳnh Nguyên Bảo,https://onlinica.com/courses/course-v1:Onlinica+132+2023_132/about,Tính năng của phần mềm Maya. Cách thao tác trên phần mềm Maya. Thiết kế nhân vật 3D và bộ phim hoạt hình chất lượng
THẤU HIỂU INSIGHT - CHINH PHỤC KHÁCH HÀNG,Digital Marketing,Ms. My Dương,https://onlinica.com/courses/course-v1:Onlinica+150+2023_150/about,Xác định tệp khách hàng mục tiêu. Thấu hiểu Insight và tìm kiếm Insight. Kết nối Insight vào nội dung marketing. Xác định đối tượng khách hàng mục tiêu. Hiểu rõ về Content Marketing.
LẬP TRÌNH PYTHON CĂN BẢN VỚI BIẾN VÀ VÒNG LẶP,Lập trình,Mr. Đinh Nguyễn Trọng Nghĩa,https://onlinica.com/courses/course-v1:Onlinica+152+2023_152/about ,Ngôn ngữ lập trình Python. Biến và vòng lặp. Ứng dụng của Python trong lĩnh vực trí tuệ nhân tạo. Các công ty lớn sử dụng Python trong phát triển sản phẩm. Hướng dẫn tiếp cận ngôn ngữ Python một cách dễ hiểu và nhanh chóng. Chia sẻ bí quyết và kinh nghiệm để thực hành hiệu quả
PROCREATE ĐƠN GIẢN CHO NGƯỜI MỚI BẮT ĐẦU,Design,Ms. Doris,https://onlinica.com/courses/course-v1:Onlinica+198+2023_198/about,"Hướng dẫn sử dụng phần mềm Procreate. Quen với giao diện và các công cụ quan trọng của Procreate. Bài tập thực hành để khám phá cách sử dụng các công cụ vẽ, cọ và màu sắc. Tạo ra những tác phẩm nghệ thuật độc đáo và chuyên nghiệp"
PROCREATE - SÁNG TẠO KHÔNG GIỚI HẠN,Design,Ms. Doris,https://onlinica.com/courses/course-v1:Onlinica+199+2023_199/about,Học cách sử dụng phần mềm Procreate. Học cách tận dụng các tính năng của Procreate. Học cách sử dụng cọ và màu sắc. Học cách tạo hiệu ứng đặc biệt và sắp xếp các layer phức tạp.
BIÊN TẬP NỘI DUNG THƯƠNG MẠI - LÀM CHỦ CHATGPT (PHẦN 1),Digital Marketing,Ms. My Dương,https://onlinica.com/courses/course-v1:Onlinica+201+2023_201/about,Sử dụng sức mạnh của ChatGPT để tạo ra bài viết và nội dung chất lượng cao. Sử dụng công cụ và tính năng của ChatGPT để chỉnh sửa và biên tập nội dung. Xác định và định hình mục tiêu độc giả để tạo ra nội dung phù hợp. Khai thác tiềm năng của ChatGPT để tạo ra bài viết thu hút và độc đáo.
BIÊN TẬP NỘI DUNG THƯƠNG MẠI - LÀM CHỦ CHATGPT (PHẦN 2),Digital Marketing,Ms. My Dương,https://onlinica.com/courses/course-v1:Onlinica+202+2023_202/about,Sử dụng sức mạnh của ChatGPT để tạo ra bài viết và nội dung chất lượng cao. Sử dụng công cụ và tính năng của ChatGPT để chỉnh sửa và biên tập nội dung. Xác định và định hình mục tiêu độc giả để tạo ra nội dung phù hợp. Học từ kinh nghiệm của Ms. My Dương với hơn 10 năm kinh nghiệm quản lý Marketing.
KỸ NĂNG THIẾT KẾ CV TRÊN ADOBE ILLUSTRATOR,Design,Ms. Tracy Nguyễn,https://onlinica.com/courses/course-v1:Onlinica+206+2023_206/about,"Thiết kế CV ấn tượng với phần mềm Adobe Illustrator. Cách tạo bố cục, màu sắc, font chữ hài hòa và chuyên nghiệp. Thực hành thiết kế CV từ chuyên gia. Kiến thức bổ ích để tạo CV thu hút nhà tuyển dụng"
KỸ NĂNG LỰA CHỌN VÀ XÁC ĐỊNH MỤC TIÊU NGHỀ NGHIỆP,Personal Development,Ms. Cao Thị Thùy Trang,https://onlinica.com/courses/course-v1:Onlinica+208+2023_208/about#shortDes,Xác định mục tiêu nghề nghiệp. Tại sao mục tiêu quan trọng và cách xây dựng mục tiêu tốt. Lên kế hoạch thực hiện mục tiêu. Duy trì động lực và tập trung vào mục tiêu. Đánh giá lựa chọn và thiết lập bước cụ thể để đạt mục tiêu
THIẾT KẾ THỜI TRANG CHUYÊN NGHIỆP TRÊN ADOBE ILLUSTRATOR (AI),Design,Ms. Thanh Trà,https://onlinica.com/courses/course-v1:Onlinica+209+2023_209/about#shortDes,"Học cách sử dụng phần mềm Adobe Illustrator để thiết kế các mẫu áo, quần, váy và phụ kiện thời trang. Hướng dẫn cách sử dụng các công cụ trong phần mềm để tạo ra các bản vẽ chi tiết và hoàn thiện mẫu thiết kế thời trang chất lượng cao. Hướng dẫn từ chuyên gia thiết kế thời trang nữ Ms. Thanh Trà. Phù hợp cho những ai muốn trở thành nhà thiết kế thời trang chuyên nghiệp hoặc muốn thực hiện ý tưởng thiết kế thời trang của riêng mình."
VẼ MINH HOẠ CƠ BẢN BẰNG PHOTOSHOP,Design,Ms. Trần Thị Thúy Hằng,https://onlinica.com/courses/course-v1:Onlinica+212+2023_212/about,"Học các kỹ thuật vẽ và tạo hình trực quan, bắt mắt. Sử dụng phần mềm Photoshop để tạo ra tác phẩm minh họa độc đáo. Phát triển kỹ năng vẽ và sáng tạo trong nghệ thuật minh họa."
HÀNH TRÌNH KHÁM PHÁ ART DIRECTION CÙNG GIÁM ĐỐC NGHỆ THUẬT PATRICK LAROCHELLE,Design,Mr. Patrick Larochelle,https://onlinica.com/courses/course-v1:Onlinica+213+2023_213/about#shortDes,Chia sẻ kinh nghiệm của Mr. Patrick Larochelle trong lĩnh vực chỉ đạo nghệ thuật và thiết kế. Hướng dẫn cách định hướng nghệ thuật để tạo ra các tác phẩm xuất sắc. Phát triển kỹ năng chỉ đạo nghệ thuật và tạo ra sự khác biệt.
KHAI PHÁ TIỀM NĂNG CỦA NGƯỜI HƯỚNG NỘI,Personal Development,Ms. Đỗ Phương Thảo,https://onlinica.com/courses/course-v1:Onlinica+216+2023_216/about,"Khám phá và khai thác tiềm năng bên trong chính là chiếc chìa khóa cho sự phát triển cá nhân và tiến bước đến thành công của người hướng nội. Hiểu rõ hơn về những đặc điểm của người hướng nội và tận dụng những ưu điểm đó để đạt được mục tiêu trong cuộc sống và sự nghiệp. Phát triển khả năng giao tiếp, xây dựng mối quan hệ và thể hiện bản thân một cách tự tin. Vượt qua những trở ngại trong việc giao tiếp và tương tác xã hội. Kết nối với chính bản thân mình và khám phá sự sáng tạo và đột phá trong công việc lẫn cuộc sống."
TYPOGRAPHY FOUNDATION: TYPOGRAPHY CƠ BẢN,Design,Mr. Khang Nguyễn,https://onlinica.com/courses/course-v1:Onlinica+217+2023_217/about,Các khái niệm cơ bản trong Typography. Cấu trúc và kỹ thuật sử dụng Typography. Cách sử dụng Typography hiệu quả. Kinh nghiệm cá nhân của giảng viên trong việc sử dụng Typography
ỨNG DỤNG TYPOGRAPHY TRONG THIẾT KẾ POSTER,Design,Mr. Khang Nguyễn,https://onlinica.com/courses/course-v1:Onlinica+231+2023_231/about,"Ứng dụng typography trong thiết kế poster. Sử dụng các kiểu chữ, màu sắc, hình ảnh và bố cục để tạo ra poster đẹp mắt và thu hút. Nâng cao kỹ năng thiết kế và tạo ra những tác phẩm sáng tạo. Hướng dẫn cách sắp xếp chữ để truyền tải thông điệp ý nghĩa. Bí kíp khi làm việc thực tế với khách hàng"
VẼ CHÂN DUNG THEO PHONG CÁCH SEMI - REALISTIC BẰNG PROCREATE (PHẦN 01),Design,Ms. Đoàn Phương Trúc,https://onlinica.com/courses/course-v1:Onlinica+233+2023_233/about,Hướng dẫn vẽ chân dung theo phong cách Semi-Realistic. Nắm vững lý thuyết về tranh chân dung và phong cách Semi-Realistic. Thực hành nhiều bài tập để sáng tạo và hoàn thiện nhân vật theo phong cách Semi-Realistic
VẼ CHÂN DUNG THEO PHONG CÁCH SEMI - REALISTIC BẰNG PROCREATE (PHẦN 02),Design,Ms. Đoàn Phương Trúc,https://onlinica.com/courses/course-v1:Onlinica+234+2023_234/about,Hướng dẫn vẽ chân dung theo phong cách Semi-Realistic. Lý thuyết về tranh chân dung và phong cách Semi-Realistic. Hướng dẫn về tỉ lệ đầu người. Thực hành nhiều bài tập để sáng tạo và hoàn thiện nhân vật theo phong cách Semi-Realistic
BÍ QUYẾT CHINH PHỤC BÀI THI TOEIC,Personal Development,Mr. Nguyễn Thiên Ân,https://onlinica.com/courses/course-v1:Onlinica+235+235_2023/about#shortDes,Tổng quan về bài thi TOEIC. 2 kỹ năng cần thiết để làm bài thi TOEIC. Bí quyết vàng để chinh phục số điểm TOEIC
XÂY DỰNG MỘT GAME ĐƠN GIẢN BẰNG PYTHON,Lập trình,Mr. Đinh Nguyễn Trọng Nghĩa,https://onlinica.com/courses/course-v1:Onlinica+237+2023_237/about,Hiểu cơ bản về lập trình Python và cách áp dụng nó trong phát triển game. Thực hành xây dựng luật chơi để tạo ra trải nghiệm chơi game thú vị. Tạo ra các trò chơi đơn giản. Tối ưu hóa và điều chỉnh trò chơi của bạn để làm cho nó hoàn hảo.
TỔNG QUAN VỀ SHOPPER MARKETING,Digital Marketing,Giảng viên Onlinica (AI),https://onlinica.com/courses/course-v1:Onlinica+241+2023_241/about,Hiểu về Shopper Marketing và tầm quan trọng của chiến lược Shopper Marketing. Phân biệt được Consumer Marketing và Shopper Marketing. Tìm hiểu về các yếu tố ảnh hưởng đến chiến lược Shopper Marketing và áp dụng vào thực tiễn.
KHÁM PHÁ QUY TRÌNH SEO,Personal Development,Giảng viên Onlinica (AI),https://onlinica.com/courses/course-v1:Onlinica+244+2023_244/about,"Hiểu Rõ SEO là gì. Hiểu được tầm quan trọng của việc SEO theo quy trình cụ thể, rõ ràng. Áp dụng quy trình để xây dựng một chiến lược SEO hiệu quả cho doanh nghiệp của bạn"
Ý NGHĨA MÀU SẮC TRONG XÂY DỰNG THƯƠNG HIỆU,Design,Giảng viên Onlinica (AI),https://onlinica.com/courses/course-v1:Onlinica+245+2023_245/about,Ý nghĩa màu sắc trong xây dựng thương hiệu. Khái niệm màu sắc thương hiệu. Ý nghĩa của từng màu sắc và cách các thương hiệu nổi tiếng sử dụng màu sắc. Ứng dụng lý thuyết vào thực tế. Phù hợp với mọi người quan tâm đến màu sắc trong xây dựng thương hiệu
NẰM LÒNG CÁC THUẬT NGỮ MÀU SẮC HỮU DỤNG CHO DESIGNER,Design,Giảng viên Onlinica (AI),https://onlinica.com/courses/course-v1:Onlinica+247+2023_247/about,"Các nguyên tắc phối màu trong thiết kế. Các loại màu sắc và điểm mạnh, điểm yếu của chúng. Khái niệm cơ bản về màu sắc: Hue, Value, Chroma, Saturation. Vòng tuần hoàn màu sắc và cách mà màu sắc tương tác với nhau. Sức mạnh của màu sắc trong việc tạo ra các tác phẩm ấn tượng và thu hút sự chú ý."
XÂY DỰNG HÀNH TRÌNH TRẢI NGHIỆM KHÁCH HÀNG,Digital Marketing,Giảng viên Onlinica (AI),https://onlinica.com/courses/course-v1:Onlinica+250+2024_250/about,Xây dựng hành trình trải nghiệm khách hàng. Tạo ra giao diện trực tuyến hấp dẫn. Hiểu rõ nhu cầu và mong muốn của khách hàng. Khám phá cách xây dựng trải nghiệm người dùng tối ưu. Tối ưu hóa website để tạo ra trải nghiệm độc đáo và khác biệt. Nắm bắt xu hướng người dùng và tối ưu hóa giao diện. Giao tiếp hiệu quả để duy trì sự quan tâm và lòng trung thành của khách hàng.
CHIẾN THUẬT SEO HIỆU QUẢ TRÊN INSTAGRAM,Digital Marketing,Giảng viên Onlinica (AI),https://onlinica.com/courses/course-v1:Onlinica+252+2023_251/about,Tối ưu hóa hồ sơ Instagram. Xác định và sử dụng từ khóa cho nội dung. Duy trì một tài khoản chất lượng. Các bí quyết khác để cải thiện SEO trên Instagram.
THIẾT LẬP UNIQUE SELLING POINT (USP) CHO THƯƠNG HIỆU,Digital Marketing,Giảng viên Onlinica (AI),https://onlinica.com/courses/course-v1:Onlinica+257+2023_257/about,"Xác định và phát triển Unique Selling Point (USP) cho thương hiệu. Hiểu rõ khách hàng, nghiên cứu thị trường và phân tích đối thủ cạnh tranh. Xây dựng USP mạnh mẽ, phản ánh đúng bản chất và giá trị của doanh nghiệp. Áp dụng kiến thức thông qua bài thực hành, ví dụ và case study. Phù hợp cho tất cả mọi người có hứng thú với việc thiết lập USP cho thương hiệu"
TỐI ƯU BÁN HÀNG TRÊN SHOPEE,Digital Marketing,Giảng viên Onlinica (AI),https://onlinica.com/courses/course-v1:Onlinica+258+2023_258/about,Tổng quan về sàn thương mại điện tử Shopee. Xây dựng và quản lý gian hàng trên Shopee. Tối ưu hóa sản phẩm trên Shopee. Chiến lược marketing và quảng cáo trên Shopee. Xây dựng mối quan hệ khách hàng và xử lý đơn hàng有效
TỐI ƯU GIAN HÀNG TRÊN LAZADA,Digital Marketing,Giảng viên Onlinica (AI),https://onlinica.com/courses/course-v1:Onlinica+259+2024_259/about,Quá trình hình thành và phát triển của Lazada. Cách thiết kế gian hàng trên Lazada. Mẹo tối ưu hóa gian hàng trên Lazada. Chiến lược quan trọng cho thành công trên thị trường thương mại điện tử.
TỐI ƯU BÁN HÀNG TRÊN TIKTOK SHOP,Digital Marketing,Giảng viên Onlinica (AI),https://onlinica.com/courses/course-v1:Onlinica+260+2023_260/about#shortDess,TikTok Shop là gì. Mô hình vận hành của TikTok Shop. Cách tối ưu TikTok Shop. Quản lý gian hàng trên TikTok Shop. Khắc phục những khuyết điểm trong cách vận hành gian hàng
ART THEORY - LÝ THUYẾT VỀ HỘI HOẠ,Design,Mr. Hoàng Khắc Huyên,https://onlinica.com/courses/course-v1:Onlinica+VTCA-263+2023_VTCA_263/about#shortDes,Đường nét trong mỹ thuật. Cách xây dựng phối cảnh vật thể trong không gian. Hệ thống ánh sáng và bóng đổ. Lý thuyết màu sắc cơ bản. Tỷ lệ người và giải phẫu cơ bản. Áp dụng lý thuyết vào thực tế thông qua bài tập thực hành
